Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
Industrial and Commercial Bank of China Limited,5742.8,4594.24,5340.8,476365.26
China Construction Bank,5016.8,4013.44,4665.62,416143.56
Agricultural Bank of China,4919.0,3935.2,4574.67,408031.05
Bank of China,4192.1,3353.68,3898.65,347734.7
JPMorgan Chase,3868.2,3094.56,3597.43,320867.19
Bank of America,3051.3,2441.04,2837.71,253105.34
Mitsubishi UFJ Financial Group,2967.9,2374.32,2760.15,246187.31
HSBC,2864.5,2291.6,2663.98,237610.28
BNP Paribas,2849.6,2279.68,2650.13,236374.32
Crédit Agricole,2542.6,2034.08,2364.62,210908.67
Citigroup Inc.,2416.6,1933.28,2247.44,200456.97
Postal Savings Bank of China,2039.5,1631.6,1896.74,169176.52
SMBC Group,2006.7,1605.36,1866.23,166455.77
Mizuho Financial Group,1909.3,1527.44,1775.65,158376.44
Bank of Communications,1883.7,1506.96,1751.84,156252.92
Wells Fargo,1881.0,1504.8,1749.33,156028.95
Banco Santander,1853.8,1483.04,1724.03,153772.71
Barclays,1823.8,1459.04,1696.13,151284.21
Japan Post Bank,1719.9,1375.92,1599.51,142665.71
UBS,1679.3,1343.44,1561.75,139297.94
Groupe BPCE,1636.3,1309.04,1521.76,135731.08
Société Générale,1588.9,1271.12,1477.68,131799.26
Royal Bank of Canada,1544.1,1235.28,1436.01,128083.1
Toronto-Dominion Bank,1524.8,1219.84,1418.06,126482.16
China Merchants Bank,1470.0,1176.0,1367.1,121936.5
Goldman Sachs,1441.8,1153.44,1340.87,119597.31
Deutsche Bank,1428.6,1142.88,1328.6,118502.37
Industrial Bank (China),1343.5,1074.8,1249.46,111443.32
China CITIC Bank,1239.2,991.36,1152.46,102791.64
Shanghai Pudong Development Bank,1184.2,947.36,1101.31,98229.39
Morgan Stanley,1180.2,944.16,1097.59,97897.59
Crédit Mutuel,1180.2,944.16,1097.59,97897.59
Lloyds Banking Group,1057.6,846.08,983.57,87727.92
China Minsheng Bank,1051.9,841.52,978.27,87255.11
Intesa Sanpaolo,1042.7,834.16,969.71,86491.97
ING Group,1034.3,827.44,961.9,85795.18
Scotiabank,1029.8,823.84,957.71,85421.91
UniCredit,916.7,733.36,852.53,76040.26
China Everbright Bank,913.4,730.72,849.46,75766.53
NatWest Group,867.5,694.0,806.78,71959.12
Bank of Montreal,859.0,687.2,798.87,71254.05
Commonwealth Bank,837.2,669.76,778.6,69445.74
Standard Chartered,819.9,655.92,762.51,68010.7
La Banque postale,796.8,637.44,741.02,66094.56
Ping An Bank,771.5,617.2,717.5,63995.92
Banco Bilbao Vizcaya Argentaria,762.1,609.68,708.75,63216.2
Norinchukin Bank,753.2,602.56,700.48,62477.94
State Bank of India,694.9,555.92,646.26,57641.96
Canadian Imperial Bank of Commerce,691.3,553.04,642.91,57343.34
National Australia Bank,679.7,543.76,632.12,56381.12
U.S.Bancorp,674.8,539.84,627.56,55974.66
Rabobank,671.7,537.36,624.68,55717.52
DZ Bank,670.1,536.08,623.19,55584.8
Australia and New Zealand Banking Group,669.6,535.68,622.73,55543.32
Westpac,653.3,522.64,607.57,54191.24
Nordea,635.7,508.56,591.2,52731.32
CaixaBank,604.0,483.2,561.72,50101.8
Sberbank of Russia,566.0,452.8,526.38,46949.7
KB Financial Group Inc,557.5,446.0,518.48,46244.62
PNC Financial Services,557.2,445.76,518.2,46219.74
Resona Holdings,557.1,445.68,518.1,46211.45
Truist Financial Corp,555.2,444.16,516.34,46053.84
DBS Bank,554.4,443.52,515.59,45987.48
Danske Bank,540.6,432.48,502.76,44842.77
Huaxia Bank,540.0,432.0,502.2,44793.0
Shinhan Bank,537.4,429.92,499.78,44577.33
China Guangfa Bank,528.9,423.12,491.88,43872.26
Sumitomo Mitsui Trust Holdings,516.8,413.44,480.62,42868.56
Commerzbank,510.2,408.16,474.49,42321.09
Capital One,455.2,364.16,423.34,37758.84
Hana Financial Group,452.3,361.84,420.64,37518.29
Bank of Beijing,447.5,358.0,416.18,37120.12
Itaú Unibanco,439.5,351.6,408.74,36456.52
OCBC Bank,417.6,334.08,388.37,34639.92
Nonghyup Bank,417.3,333.84,388.09,34615.04
Bank of Jiangsu,410.8,328.64,382.04,34075.86
The Bank of New York Mellon,405.7,324.56,377.3,33652.82
ABN AMRO,405.6,324.48,377.21,33644.52
Bank of Shanghai,405.1,324.08,376.74,33603.05
Woori Bank,382.0,305.6,355.26,31686.9
KBC Bank,380.3,304.24,353.68,31545.88
China Zheshang Bank,380.1,304.08,353.49,31529.3
Banco do Brasil,379.7,303.76,353.12,31496.12
United Overseas Bank,376.0,300.8,349.68,31189.2
Nomura Holdings,373.4,298.72,347.26,30973.53
Landesbank Baden-Württemberg,346.4,277.12,322.15,28733.88
Erste Group,346.1,276.88,321.87,28709.0
Industrial Bank of Korea,343.4,274.72,319.36,28485.03
Bank of Ningbo,343.0,274.4,318.99,28451.85
Banco Bradesco,340.4,272.32,316.57,28236.18
SEB Group,338.9,271.12,315.18,28111.75
VTB Bank,335.1,268.08,311.64,27796.54
Handelsbanken,331.3,265.04,308.11,27481.34
DNB ASA,328.5,262.8,305.5,27249.08
Qatar National Bank,323.5,258.8,300.86,26834.32
National Bank of Canada,312.6,250.08,290.72,25930.17
Macquarie Group,313.4,250.72,291.46,25996.53
Nationwide Building Society,311.9,249.52,290.07,25872.1
Raiffeisen Gruppe,303.5,242.8,282.26,25175.32
First Abu Dhabi Bank,302.2,241.76,281.05,25067.49
